순위,상병기호,상병명,진료실인원,내원일수, 급여일수,진료비,급여비
1,K05,치은염및치주질환,3456340,8878783,18924094,401865631,286538817
2,I10,본태성(원발성)고혈압,3164224,24417513,890271593,2096684812,1523666575
3,M17,무릎관절증,1659711,12508073,102005659,1246029971,915003640
4,M54,등통증,1635288,10572149,55876627,471783469,355908823
5,E11,2형당뇨병,1512474,11509083,388081549,1397175217,988323920
6,K21,위-식도역류병,1316146,3598418,70006515,247850001,174913160
7,K29,위염및십이지장염,1213909,2734212,37254599,155391519,112490350
8,M48,기타척추병증,1174879,8825360,70111584,663352372,483221744
9,K08,치아및지지구조의기타장애,1161540,3509945,6481079,1574424053,1106415995
10,L23,앨러지성접촉피부염,987493,2523879,17572192,78801582,63214760
11,J20,급성기관지염,919070,2401287,17933464,88555466,69116849
12,K04,치수및근단주위조직의질환,911218,3103517,5331572,136174450,98150740
13,N40,전립선증식증,841569,4315952,174575934,467495090,315150172
14,H10,결막염,825240,1811104,7362105,74992667,58524806
15,M79,달리분류되지않은기타연조직장애,824286,2560917,15424521,93208109,70304532
16,K02,치아우식,816286,1338466,1999673,59764802,42637732
17,M75,어깨병변,804683,4650418,25692842,322364982,234532522
18,H25,노년백내장,789938,2525380,10469856,533380905,415923288
19,E78,지질단백질대사장애및기타지질증,766943,2843309,135402218,264554131,187123283
20,H04,눈물계통의장애,746857,1702017,9568141,91516056,68260053
21,Z46,기타장치의부착및조정를위하여보건서비스와접하고있는사람,725280,1165088,1312776,96359586,68946624
22,M81,병적골절이없는골다공증,701147,2202990,59000013,196755237,136685761
23,M51,기타추간판장애,641527,4404520,31295526,344089223,247229441
24,B35,백선증,615904,1568825,13521020,71093456,53508419
25,J30,혈관운동성및앨러지성비염,576909,1368867,14184321,51545648,39749014
26,F00,알츠하이머병에서의치매(G30.-+),549969,24207875,119594818,2208726851,1638899083
27,M47,척추증,546118,3347020,19845892,193892704,143273881
28,Z11,감염성및기생충성질환에대한특수선별검사,534222,1981129,2423316,75021369,47414621
29,H35,기타망막장애,516907,1585736,18730009,323959889,252272386
30,K59,기타기능성장장애,508460,1072637,15532544,64400333,45118663
31,K03,치아경조직의기타질환,500291,771097,1240786,43630457,31070680
32,M13,기타관절염,467912,1796205,17169763,96643062,71885804
33,M19,기타관절증,467244,1744247,24621668,161616697,112324630
34,H40,녹내장,465510,1655176,13000043,198199404,133348903
35,A09,감염성및상세불명기원의기타위장염및결장염,447067,1035744,6556405,115141072,85098616
36,R10,복부및골반통증,445216,829199,8701652,95291616,59519130
37,I20,협심증,442275,1892086,112524292,638425847,486817814
38,L50,두드러기,434699,1029184,9016456,34736513,26973534
39,H81,전정기능의장애,429195,1254000,19039522,128995881,87252819
40,S33,"요추및골반의관절및인대의탈구,염좌및긴장",420948,1625839,7848881,76233304,57178047
41,J06,다발성및상세불명부위의급성상기도감염,380943,827052,5656828,26117288,20814933
42,H60,외이염,376535,1115975,3420545,27303854,22303451
43,N30,방광염,376428,1027735,8814873,59544216,43796712
44,K58,과민대장증후군,374669,699459,6674824,46675469,32974086
45,M25,달리분류되지않은기타관절장애,374591,1301746,9278696,57594232,41591276
46,J00,급성비인두염[감기],371370,862793,5582237,20366195,16295064
47,I63,뇌경색증,368559,7666842,93993982,1469002513,1117412507
48,R42,어지럼증및어지럼,360059,770127,14147715,98623817,61368759
49,H16,각막염,335213,805960,3768632,41209818,30464408
50,M65,윤활막염및힘줄윤활막염,333308,1198892,6386317,52298754,38791919
51,K63,장의기타질환,326145,545232,4158045,179603719,120449309
52,L30,기타피부염,293937,657786,5618054,25493601,18274162
53,N31,달리분류되지않은방광의신경근육기능장애,286574,935095,32138498,87366864,59614149
54,H52,굴절및조절의장애,282542,455371,2524920,38352455,27707598
55,R51,두통,278136,506167,8831808,54252332,31773176
56,G47,수면장애,269791,937401,23562413,53993750,39029346
57,R07,목구멍및가슴의통증,268274,505053,11734880,79100325,50014660
58,M50,경추간판장애,262749,1561910,9001961,97893320,70740550
59,F06,"뇌손상,뇌기능이상및신체질환에의한기타정신장애",261100,882879,35938234,110179229,73709330
60,L03,연조직염,255723,774202,3537930,47347226,35249779
61,J02,급성인두염,248623,507611,3097943,15656463,12545037
62,J04,급성후두염및기관염,248454,622885,4206856,21335153,16843001
63,J03,급성편도염,240190,506447,2968243,16361499,13054901
64,L24,자극물접촉피부염,239290,524361,3585477,16912222,13287590
65,K52,기타비감염성위장염및결장염,229162,411334,2728880,21135892,16029530
66,K12,구내염및관련병변,228689,461625,1869923,14441947,11246160
67,K25,위궤양,226827,605858,9723655,71893671,52546753
68,H36,달리분류된질환에서의망막장애,225002,659018,18723129,79735921,52213739
69,F41,기타불안장애,224441,1182021,25446914,65671445,48804621
70,H90,전음성및감각신경성청력소실,223123,419870,2976204,35848678,22559193
