순위,상병기호,상병명,진료실인원,내원일수, 급여일수,진료비,급여비
1,K05,치은염및치주질환,3024732,7580019,16452861,328744008,235378894
2,I10,본태성(원발성)고혈압,3001734,23560995,838347702,1921387289,1395176103
3,M17,무릎관절증,1549980,11975881,94008075,1134777156,839946371
4,M54,등통증,1543996,10341050,53147242,417892339,317893862
5,E11,2형당뇨병,1402843,10972378,357992857,1266428647,897223676
6,J20,급성기관지염,1377138,3837982,25655501,132832714,104086447
7,K21,위-식도역류병,1224521,3453854,64725805,226261754,159633635
8,K29,위염및십이지장염,1131527,2634344,34112201,137433109,99994329
9,K08,치아및지지구조의기타장애,1116850,3428366,6110808,1523323962,1070472293
10,M48,기타척추병증,1095935,8454041,65630061,605968895,442330346
11,L23,앨러지성접촉피부염,961895,2559453,17415091,76824911,61735856
12,K04,치수및근단주위조직의질환,886873,3086850,5236450,125891963,91213181
13,N40,전립선증식증,791588,4145564,162825781,428905962,289044286
14,H10,결막염,790292,1767238,7058309,68215523,53828794
15,M75,어깨병변,745374,4291572,23050267,283056134,207173648
16,K02,치아우식,744022,1218922,1816783,52422590,37425305
17,H25,노년백내장,740899,2439729,10096230,475950375,372433513
18,M79,달리분류되지않은기타연조직장애,719218,2397205,14003829,83119202,63157946
19,Z46,기타장치의부착및조정를위하여보건서비스와접하고있는사람,685175,1097701,1229480,87961611,62934080
20,E78,지질단백질대사장애및기타지질증,674084,2482297,113659386,217159727,153201947
21,H04,눈물계통의장애,664480,1553738,8975220,79127890,59215394
22,J30,혈관운동성및앨러지성비염,657841,1584011,14700273,54866828,42575591
23,M81,병적골절이없는골다공증,641328,2072404,51815951,174320441,121170194
24,B35,백선증,601429,1529134,13169953,67964507,50980446
25,M51,기타추간판장애,597849,4232491,27918706,307446646,223043892
26,J00,급성비인두염[감기],540147,1371488,7969075,28994527,23237850
27,J06,다발성및상세불명부위의급성상기도감염,524181,1193385,7693136,36038608,28652872
28,M47,척추증,518207,3294970,18197790,171665508,128239360
29,F00,알츠하이머병에서의치매(G30.-+),510653,24312173,109545577,2145636473,1588080969
30,H35,기타망막장애,478220,1490148,17496065,271019542,211144293
31,K03,치아경조직의기타질환,460475,712800,1143936,39320899,28012593
32,K59,기타기능성장장애,451263,974357,13674758,53589455,37696033
33,M13,기타관절염,449692,1811441,16529199,92309529,69220152
34,M19,기타관절증,423268,1609525,21769606,134111589,94164741
35,I20,협심증,418164,1822355,105889883,575036756,439599658
36,H40,녹내장,416762,1531389,11689174,169088978,114973046
37,A09,감염성및상세불명기원의기타위장염및결장염,414508,988644,6071632,104299669,77547864
38,L50,두드러기,410321,1023202,8666732,32782226,25587724
39,H16,각막염,401304,987277,4597394,47203772,35414038
40,H81,전정기능의장애,398073,1176508,17661191,114869197,78388186
41,S33,"요추및골반의관절및인대의탈구,염좌및긴장",391034,1522926,7141529,66543584,50290749
42,K58,과민대장증후군,384229,751137,7451511,46967552,33152291
43,R10,복부및골반통증,366219,673560,6783417,71742436,45271298
44,M25,달리분류되지않은기타관절장애,358128,1290105,8890354,50672626,36689836
45,I63,뇌경색증,356992,7774090,89773613,1372719544,1043939731
46,H60,외이염,356000,1054609,3171686,24969857,20471890
47,N30,방광염,352295,976200,7801920,52123645,38535148
48,J40,급성인지만성인지명시되지않은기관지염,324754,828685,6642613,39149186,28948071
49,R42,어지럼증및어지럼,320184,702764,13512103,86361717,54118718
50,J04,급성후두염및기관염,317097,813305,5054364,25703688,20507750
51,J02,급성인두염,304759,649289,3863472,19252719,15429503
52,J03,급성편도염,297689,648286,3686806,20040759,16018733
53,M65,윤활막염및힘줄윤활막염,297547,1072394,5493574,44819093,33457665
54,L30,기타피부염,272512,627145,5103112,23054830,16697395
55,K63,장의기타질환,265305,466072,4038531,145225401,97956974
56,N31,달리분류되지않은방광의신경근육기능장애,252834,831667,27637012,75803131,51723829
57,J45,천식,250786,1092367,19653645,99513251,70135812
58,G47,수면장애,248391,850018,20549811,45780089,33379280
59,L03,연조직염,244546,772774,3401314,46857159,35149601
60,H52,굴절및조절의장애,244343,399392,2219050,30679777,22266798
61,M50,경추간판장애,243923,1480744,8175139,89342583,65237950
62,F06,"뇌손상,뇌기능이상및신체질환에의한기타정신장애",234202,820142,31940747,95737473,64671821
63,R07,목구멍및가슴의통증,233762,435747,10978252,64459883,41287582
64,L24,자극물접촉피부염,230981,521684,3411908,16011839,12668698
65,K25,위궤양,229456,627419,9737695,68544105,50154517
66,K12,구내염및관련병변,216076,441412,1747004,13438745,10497332
67,K52,기타비감염성위장염및결장염,214207,393031,2519098,18497278,14131812
68,F41,기타불안장애,212174,1107071,23163076,59480730,43992935
69,F32,우울에피소드,211452,1630337,35297261,106155637,77131568
70,Z11,감염성및기생충성질환에대한특수선별검사,210506,706499,892573,30912288,20685894
71,H36,달리분류된질환에서의망막장애,206938,622430,17046061,69873593,46253452
72,E14,상세불명의당뇨병,205506,1219701,37287516,157241377,110569845
73,B02,대상포진,199286,784524,4721370,58542633,42684202
74,R51,두통,198168,388348,7629457,44032243,26072887
75,H26,기타백내장,195000,489107,2761492,114013830,82416971
76,G31,달리분류되지않은신경계통의기타퇴행성질환,187823,643438,23959390,61624508,45365628
77,H90,전음성및감각신경성청력소실,186567,351453,2339818,28782237,18437757
78,S02,두개골및안면골의골절,184961,343625,703943,20809109,14739806
79,L21,지루피부염,184213,431668,3254084,14010888,10870016
80,M77,기타골부착부병증,182374,662254,3593448,25148486,18585545
81,J01,급성부비동염,179261,442455,2751703,16336126,12569346
82,K30,기능성소화불량,177943,344424,4173783,16068343,11220711
83,Z96,기타기능성삽입물의존재,177550,585343,2677475,33154162,23544940
84,I11,고혈압성심장병,170091,856542,38976144,108591466,74998625
85,N18,만성신장병,165764,6384165,43817318,1286903375,1116661111
86,K76,간의기타질환,164976,285778,4720673,33750079,22949146
87,H11,결막의기타장애,164650,287782,1226802,16591897,11995229
88,L02,"피부의농양,종기및큰종기",162984,478926,2009694,20221723,15543642
89,I48,심방세동및조동,161490,805905,41845387,228961065,167100287
90,K07,치아얼굴이상[부정교합포함],160809,267014,942076,9314948,6713121
91,I67,기타뇌혈관질환,160612,759770,23489774,195117953,146024336
92,S22,"늑골,흉골및흉추의골절",157032,1264204,6953030,165452369,120572460
93,J32,만성부비동염,151581,490567,2979335,29768346,21676008
94,H61,외이의기타장애,149694,244993,631541,9534449,6980534
95,J18,상세불명병원체의폐렴,147475,1537440,4902890,416913082,329514413
96,G44,기타두통증후군,146575,337842,6093909,34068452,21409128
97,S23,"흉곽의관절및인대의탈구,염좌및긴장",145538,316755,1534877,13242660,9871985
98,F51,비기질성수면장애,145061,705860,15483917,31474119,23652006
99,H01,눈꺼풀의기타염증,143849,309908,1483666,14419099,10591237
100,E03,기타갑상선기능저하증,138187,586777,30925082,50144405,33380213
